"time","s1","s2","s3","s4","s5","s6","s7","s8","max"
0,0,0,0,0,0,0,0,0,0
0.25,4.06093089494457,25.7277307660654,4.77033756780993,21.2896240235593,5.06538680306513,19.1428834984825,5.36626605322721,17.2734249284283,9.18006866251983
0.5,7.99781107901328,45.7891409244131,9.36769632692914,39.201493330336,9.93300322412107,35.4706439034608,10.5194348535548,32.1175270470533,17.7137010460462
0.75,11.8199363299872,62.4521125960906,13.7735930368944,54.3280212713322,14.6220220302382,49.1419092445754,15.465473382522,45.0100358765085,25.5930259566936
1,15.5367427296381,76.7998171021857,17.9916242714753,67.2783322965635,19.1497325662357,60.9277050406369,20.176863141829,56.301040685174,33.0271145115231
1.25,15.1448849341721,62.4295455927678,17.2643777686241,56.9498631916537,18.424375638574,51.9781994941075,19.42368495137,49.3666935640103,30.8213316700948
1.5,14.8253139895157,51.655930070691,16.5840548196588,48.1029529970806,17.8345132028164,45.1385339033605,18.7970958469831,43.3139049452125,28.7535563938622
1.75,14.4087564031064,44.337685172429,16.0196851380968,41.0747594218373,17.2080144251685,39.7183630677424,18.0319218043349,38.6088912027804,26.9159784834086
2,14.0866528897851,38.7662341351767,15.5508228043217,36.6361681799159,16.6649515275926,35.443302952322,17.3852520559428,34.536814154656,25.3332796497587
2.25,13.7661783334173,34.9684494032706,15.0984388674801,33.2562550307163,16.1780515475986,32.2792803576036,16.8428865304805,31.6934298947363,23.9464638654749
2.5,13.3325147330086,32.5848819114341,14.7398022308938,30.9155575272715,15.6672305793584,29.9742919337404,16.3016390605184,29.3042726410044,22.6715618651646
2.75,13.0178078146078,30.7578415081079,14.3133336052021,29.0095668008726,15.2764472496044,28.3159768593428,15.7780910881753,27.2801761202126,21.5978178023254
3,12.7733335515324,29.1534157358717,13.9137993435228,27.6546913177574,14.8359259138152,26.8090579645955,15.3034220318823,25.7638756004463,20.5679793675747
3.25,12.5730406635902,27.9107474032669,13.5485351426906,26.5604083581023,14.4361491428122,25.5754934334933,14.855635840363,24.7823605258991,19.5503370030338
