"time","s1","s2","s3","s4","s5","s6","s7","s8","max"
3.5,12.2858974808588,26.9155839389898,13.2366901058758,25.5861101312302,14.0139037383716,24.618188116152,14.4145156203754,23.8343789293197,18.7426652925045
3.75,12.0630509889626,26.1612988377672,12.887198416873,24.7338282301065,13.5676604828605,23.8196181975055,14.0341908430187,23.0334022622622,18.0370457830403
4,11.8328610610916,25.4987747912508,12.58093892002,24.0815257173267,13.1119568196253,23.0829851298578,13.6217361287217,22.3573366606443,17.3657404076383
4.25,11.5799109881263,24.9052954853089,12.2634578348999,23.5189349292291,12.7433942042038,22.4671887109377,13.1219031277055,21.8065886894514,16.7703973066737
4.5,11.1728803156773,24.4397924688365,11.9231359362467,23.0171549513034,12.3939820788087,21.9476585447425,12.741866794571,21.3276953281774,16.3149940528618
4.75,10.8952183108005,24.1082432062852,11.6348450386753,22.5736606985838,12.0355262922402,21.4702967618412,12.3455660261448,20.825296031598,15.8542428355139
5,10.5794404747245,23.6201736776082,11.2656403946953,22.1789482865676,11.6491403865081,20.9893739175695,12.0045713559234,20.372675290248,15.4855564473752
5.25,10.4019018026506,23.1542764023509,10.9770147489248,21.8287630411492,11.3631875393771,20.6642009794946,11.6749324095511,19.9893222741971,15.1733210810424
5.5,10.1161736838222,22.822013269174,10.6986215910632,21.4863151742621,11.0648055370926,20.3180845932507,11.3529264899052,19.6341656068522,14.8838764496814
5.75,9.82111758209387,22.6591432919437,10.391557783031,21.0893772605901,10.806849382212,20.0284647260323,11.0754757874176,19.3301987295292,14.5771791616099
6,9.5039006509572,22.3936670645304,10.1386521705609,20.806650829144,10.5212423780933,19.7293940751671,10.8136682730713,19.0234364226211,14.3327357863465
6.25,9.263831358969,22.0903577386559,9.8969714564511,20.4315204949197,10.2783260760127,19.4345040691731,10.5632605364601,18.7392632088187,14.0825359802728
6.5,9.07964729979945,21.7525334319993,9.65620779670942,20.1833582427795,10.0147762936704,19.168986360561,10.358517645543,18.4844424344008,13.8289424382293
6.75,8.86182998449532,21.3926303507377,9.42441410718031,19.8121576509492,9.75256277465001,18.8735022902589,10.1626674918082,18.2590067788028,13.6060324292995
7,8.68173145873894,21.0983941289062,9.19658117781665,19.4520765709175,9.58510259633169,18.6644173316834,9.98030728045158,18.1142192781456,13.4087223801006
7.25,8.52131265569009,20.8428606853642,8.98665191528539,19.2952059015566,9.43370966481592,18.4570852709895,9.80383102563706,17.8767144481235,13.2018708919625
7.5,8.35877773285345,20.5903568514374,8.85600272572612,19.1559342410613,9.23542723012154,18.2220183363981,9.6129582098606,17.6766496137381,13.0280001015909
7.75,8.16726863123016,20.3458152285826,8.69434538445793,18.9984115916348,9.0545884392562,18.0530174618663,9.43673019264592,17.4607983227675,12.8667786497884
8,8.01018954758135,20.0318925934736,8.53062587194318,18.7492534432906,8.89704556562993,17.8544164030627,9.29960351867459,17.2403736730016,12.7035960688294
8.25,7.84522744718827,19.8455347741742,8.36206113333025,18.5465715904367,8.72253425934956,17.6576544444,9.17759235666765,17.0518945353044,12.5221311691047
8.5,7.69504470842129,19.6634460710563,8.22140641980179,18.3621994143572,8.55788354818284,17.4128405940784,9.02940267985539,16.8699779348391,12.3595043757594
8.75,7.5881340227608,19.4836564456604,8.09353882528751,18.1577716908937,8.45144612132941,17.203695931215,8.89019422084212,16.7324744347861,12.2082518707271
9,7.45140074426258,19.2892222931654,7.94650493716375,17.9498837903358,8.32925647708306,17.0653259652684,8.76785924326752,16.5049558351367,12.0759363936695
9.25,7.32902809090049,19.1116477566759,7.8234934528203,17.6833069468583,8.20967713625345,16.9278701112074,8.63596643702747,16.3347205004015,11.9683945409999
9.5,7.22329251671657,18.9556901275879,7.69563907306503,17.5526386645781,8.10215050424973,16.778849671584,8.51775178301448,16.1423689353391,11.8675509921552
9.75,7.09893009041979,18.8016323626669,7.58239686187348,17.4214165383488,7.99527413105818,16.6260407322409,8.40726382844049,15.9992017902302,11.7514861579309
10,7.02011995108045,18.6204740512333,7.48247366942025,17.3000594613427,7.90279541210477,16.4539257934715,8.27968203497512,15.8752356498764,11.6067907784515
10.25,6.94310301151036,18.4536582711058,7.39741295115077,17.1750711032948,7.75418423754819,16.2871010530555,8.15016980206548,15.763131953901,11.4967017567929
10.5,6.82224211104307,18.2461443903907,7.31859167543828,17.0284370762212,7.66536139187741,16.1651402000524,8.05508301578115,15.6534598826768,11.4026678061117
10.75,6.7223385026454,18.0184990385779,7.22552978544568,16.9237362641001,7.58004961485352,15.9746617330086,7.9668240367345,15.4551542799491,11.2706513700264
11,6.62786738805859,17.794951341887,7.12044451845204,16.814091275663,7.50459578650388,15.7934421735735,7.87701087348555,15.2757517582745,11.1670929683419
11.25,6.54669886067844,17.6295118442833,7.03464054457818,16.69757963805,7.39822225083342,15.6402963817338,7.79616575246484,15.1854122106792,11.0600107270172
11.5,6.41985182786047,17.5101672716754,6.96327010415945,16.5821578183818,7.31946901150971,15.5110540069525,7.6978216915669,14.9930274119126,10.9597816076846
11.75,6.35077192205093,17.3905978174668,6.8720239093302,16.3717009243952,7.22510281491638,15.3911676767595,7.59916888471995,14.8301174551161,10.8334387809596
12,6.27634104751848,17.2534928691276,6.80161568690792,16.278485097545,7.1403533868969,15.2471562766528,7.51005619902148,14.7302584788239,10.7199567355405
12.25,6.16489634993813,17.1098475246273,6.72536473037351,16.1838569471306,7.0606157651107,15.1248343345971,7.41534813424927,14.5933875417842,10.6181558008946
12.5,6.09229351635158,16.972567928754,6.66111378953051,16.0125003808393,6.98100221685827,15.0289566978319,7.32211116653922,14.4730394466984,10.4970037112058
12.75,6.02466064104439,16.8660894003432,6.59046082246408,15.7901092571983,6.93462951740094,14.9124136063647,7.23713264150757,14.328423244103,10.3733611286685
13,5.97971760399783,16.7160909567359,6.52177259263338,15.6924923622149,6.85242141773024,14.8258607198511,7.15369948327493,14.2219235796136,10.2589615368791
13.25,5.89088027118845,16.5795145474806,6.44872736546472,15.5136939297711,6.78598403085647,14.6904875521306,7.08595521194985,14.0778398897057,10.185299926853
13.5,5.8175880620514,16.4789901181876,6.40105766263374,15.4032051408633,6.68340544170168,14.6031565670848,6.96500171270277,13.9607478889972,10.0902516078143
13.75,5.75203755863004,16.3791656835105,6.35858725139257,15.3201975529421,6.61310509615998,14.5162370384087,6.88587248174419,13.8450213428281,9.99751714418814
14,5.64113915805065,16.2800227590636,6.27798665873903,15.1402153733484,6.53040058925503,14.4279584165493,6.79084994759576,13.7309543203879,9.89651552479923
14.25,5.53989299156153,16.1815451371355,6.17178182897068,15.0091100345432,6.461904564693,14.3153497779455,6.71560954358652,13.6241798237432,9.79126648747002
14.5,5.50064713899033,16.0836823941701,6.09964883307322,14.8656952800893,6.39821006350701,14.1870934708581,6.65232762744868,13.5158970766624,9.70008374962215
14.75,5.44908553125903,15.9681970436285,6.03510906199224,14.7384350439678,6.32689167266323,14.0972927663062,6.53945224584132,13.4438793507788,9.63391588473394
15,5.40919942176895,15.8388911322571,5.98362478612381,14.6500770270269,6.22924734931936,13.9861710631708,6.46820244898366,13.3231129155182,9.54211241342939
15.25,5.37093158415003,15.7331855948095,5.9156092467455,14.5611241042657,6.18703658274394,13.9098191491709,6.4160173552831,13.189346839701,9.45963402010485
15.5,5.32213001632899,15.6455316732092,5.85116381068922,14.4719136849496,6.10295446285326,13.8293117538757,6.33920519521975,13.0855478212368,9.38423528166276
15.75,5.23899397427691,15.5554886030753,5.78825344378001,14.404566691796,6.03826629530301,13.7017318897935,6.26665246916365,13.0038499345991,9.27847473222073
16,5.17107434921575,15.4497440465926,5.73968606136983,14.309109764783,5.94292157750414,13.5753203401179,6.16763878786811,12.8601868756851,9.19011416011583
16.25,5.10028588356491,15.3468102329483,5.62739890021221,14.1973566784491,5.87920202507461,13.451243769608,6.09291245047527,12.8057790789671,9.10292079927223
16.5,5.05008810941977,15.2384095784276,5.52957832456108,14.1156561255839,5.79783332810468,13.320462677907,6.05198149281338,12.7501219934062,9.02627036810619
16.75,4.95030746226374,15.13475705173,5.48433109194075,14.0296788303279,5.71443451303287,13.2026909402642,5.99400803938797,12.6890087891612,8.94925538582285
17,4.89681143846768,15.0303699120419,5.40712919538114,13.9442304179728,5.63591686181489,13.1050160964184,5.92631263103974,12.6110686737602,8.86126095100168
